Iteration,train_r2,test_r2,train_rmse,test_rmse
0,0.506913217016921,0.574819098725539,1943.2600572758013,1548.1212648111969
1,0.5633790114338157,0.27636695577397985,1849.878527475235,1959.6686919935762
2,0.4728788474701241,0.7549007661261375,2089.9177052658765,193.68722104975032
3,0.523656967522984,0.5136692131456048,1943.8433920842588,1545.4845487005784
4,0.4867599963841521,0.5583200863696283,1351.5808772784326,3197.998309004475
5,0.5224073669778276,0.45001658498824115,1948.4176940096324,1529.6282199854518
6,0.4441700065274454,0.8657897299216748,2091.708465778252,129.7009915340092
7,0.5151199547429078,0.4682023189951451,1945.1754464348046,1543.8900873104199
8,0.5088371907777383,0.5576571857766857,2036.7179927730842,953.4918726937839
9,0.48034319672521464,0.6522748766203061,2077.889768846978,499.94350921665387
10,0.4757612839929265,0.6443516795377693,2080.9460358666693,452.414214273011
11,0.4777870144913082,0.761614414119819,2091.4995938868647,142.7995169649107
12,0.46080300853802625,0.8361963388869499,2091.0778586320052,130.0687754814741
13,0.49854569055291287,0.5940692022319617,2074.6939649385927,543.3969558106211
14,0.4551951131258287,0.8784993166089097,2090.9669630346275,143.06571642340123
15,0.470843311908293,0.7346876056347276,2086.6145968985065,315.50270203021296
16,0.4550168068430368,0.7697505567580786,2082.209027021729,422.4224296767489
17,0.5251299866843127,0.4344094919178588,1951.4606856054188,1509.9416984349934
18,0.5660475847592614,0.33899689927245114,1845.178527266488,1976.934287914831
19,0.4711500831157365,0.7579679930167161,2078.883443969914,466.5335174800449
20,0.44979986824833584,0.813514215900505,2088.6057472030852,271.4276207730907
21,0.4775356287905249,0.6505031909512415,2045.0883165013583,885.6292756547305
22,0.4698217189616387,0.7036778781151738,2080.08546998761,467.2488495520752
23,0.4670128538211974,0.7656899058964969,2087.454290688065,280.89963292612237
24,0.521316847294269,0.47418769328936883,1937.0366406665464,1585.9847949405255
25,0.5716823682845615,0.3172575266404216,1123.762991499098,3530.4186868542183
26,0.48937931842166393,0.6190666529772615,2049.1615395957688,849.7607284508364
27,0.565577600236048,0.31905559942658557,1104.4116374448058,3557.8178763701576
28,0.4569435202481502,0.85898449755863,2091.733537926107,107.47591619612055
29,0.47287050787860996,0.6788865191306779,2081.542919044876,438.5718066801808
30,0.44339152471233734,0.8862328411896048,2090.793695728176,127.42238525419596
31,0.5862451798189705,0.2655208324317384,1833.198773911305,2022.6197627921906
32,0.48420967967227513,0.7008868222279447,2078.3655961616155,476.2910786743527
33,0.5143451079334013,0.44688835188759124,1991.3183787730418,1294.039839495149
34,0.4684841941480745,0.6902695365553635,2077.841565277503,497.032013854892
35,0.5100857202009385,0.5133912097184976,1947.4308008908697,1533.1905617899852
36,0.5093916125171847,0.5111221851000207,1351.248514118909,3196.4796039926337
37,0.4584033055233012,0.7801028184089087,2090.0286855214986,214.9112336233018
38,0.5556333437722629,0.34598182057709814,1857.5218930783285,1929.6370059523094
39,0.5575684970357855,0.3649249486374033,1783.7356322403598,2191.705476515341
40,0.49403306284289084,0.6692552048321281,2078.245260002833,477.1074553909376
41,0.4684587197731094,0.6955399425676139,2081.967102869013,429.60368469659676
42,0.45662565691691315,0.89065858114038,2092.325404622403,92.84246587836624
43,0.597837462269471,0.2943591140816877,1768.1837173507893,2238.446825865845
44,0.5113525105102387,0.5169179389220477,1942.925671107618,1556.1667627752872
45,0.5316843334189213,0.4243365332591894,1927.7069288138389,1632.2952487686948
46,0.5015766145887158,0.5270850720818766,1945.4507434765444,1547.1233924490093
47,0.4830240769326799,0.6429477713512479,2078.7346354230613,489.0547132141143
48,0.485973342762804,0.621919664288596,1943.5249208778162,1549.2939236629738
49,0.4584403224018674,0.7701448766428509,2087.4298752781874,296.29661742747436
50,0.5212481075275504,0.447879293290359,1989.911303330733,1299.286248367053
51,0.5184435098843221,0.4498175287130678,1949.5495749575957,1525.5084877173003
52,0.5208415583091839,0.4575276934956357,1948.809264261474,1526.0999345044527
53,0.49506377526911116,0.5908186680790517,2037.5157739909757,953.8585919575925
54,0.49011395671103253,0.5705173830577677,2040.5204576250417,933.3633655127873
55,0.5161190807773268,0.4909269916865714,1944.0184358549322,1549.7098742681967
56,0.5007557912658525,0.5402784482807175,1952.517743333732,1508.4502362844287
57,0.4575384218615831,0.7825420423983266,2082.000483958385,419.97807672011953
58,0.4845265893327547,0.7299623757497171,2081.2482134454262,409.6587036728084
59,0.5200001107543235,0.4239094126126791,1345.54729092457,3208.427548512194
60,0.5317450212772132,0.4253249414015178,2036.6847815732249,963.2094221542195
61,0.5253960739253973,0.4648283091751024,2001.7705990226814,1217.9766619560216
62,0.5319296771065523,0.3772558338490193,1935.4180415148203,1596.416195320581
63,0.48312094371774894,0.682507631421401,2079.3943952794866,467.7062486558516
64,0.4958638035560733,0.5680684706971999,1951.0263803141727,1514.476366035899
65,0.4545770599365041,0.8629880479007572,2090.8586772952513,154.52680801144294
66,0.4645445731523077,0.794289024824498,2091.4697756499063,157.2807121760045
67,0.47951138248983416,0.6977296153435847,2087.305818300734,301.5741560182459
68,0.5036064767513113,0.5585398195302509,2049.650420292573,844.1461387936939
69,0.4541996008796648,0.7738984161926432,2086.7798195807063,303.9555781567764
70,0.5148420253279145,0.5114131564923718,1931.7222933170797,1608.562864310899
71,0.48173779643383674,0.6742027743879895,2077.5952759540123,489.5709243966267
72,0.5372437810695365,0.43468602714403615,1286.3001470666813,3300.821707586573
73,0.48987865057508473,0.5790790693978429,1352.1057133593022,3195.303760470234
74,0.5142258231127077,0.5366545460894876,2002.4943601886923,1211.47457147652
75,0.47650213254674023,0.7930132340150075,2090.0917669871064,177.69124121215785
76,0.5411651041685438,0.4212927495048573,1979.8551626610902,1353.734339925515
77,0.45677385462556064,0.8201293523525964,2091.4007158860904,149.87721315468107
78,0.5105445225492026,0.5419274990864198,2036.3804956678905,960.0037485112376
79,0.4635058694020693,0.8391031835677113,2091.3403146995292,122.39507121378506
80,0.4719328514405481,0.7314186142754451,2090.025618155479,208.45101073406684
81,0.45967690526550287,0.7639737027824895,2087.638448144131,277.5381130820398
82,0.49036727456357976,0.6134542238307161,2087.167993635313,319.5858410144068
83,0.5110215464864116,0.4654358802900048,1949.1404436175324,1529.1843265149869
84,0.5644874219554044,0.3052752287074296,1266.2374718127433,3334.051818141484
85,0.5903297438390881,0.21644910653286276,1104.3402063621195,3557.4703610188526
86,0.477127939558719,0.6482608771941482,2079.4729529306155,470.12548245927735
87,0.5357003443528858,0.4532272153772883,1349.8158797336303,3195.9689081049073
88,0.4939166054562074,0.6119121559837646,2049.3186048059165,846.0021259371733
89,0.5759519294932581,0.3118512977972274,1844.2005026762506,1977.6567578064228
90,0.4559168358415412,0.8940147479751281,2092.5200125970223,82.21124725092265
91,0.541655285193158,0.38470584763301763,1897.360582641882,1769.4724144392687
92,0.5343310357418647,0.4113319158522484,1904.1179444839202,1739.9238057465382
93,0.5033215195195437,0.509912876557173,1940.0025398367789,1574.222273997596
94,0.5213266588964847,0.4933870609813439,1992.2662144866845,1278.9781265963613
95,0.5687122919163612,0.351993688865165,1932.465796489562,1602.162971806636
96,0.47077914591009185,0.7276245944725124,2082.190737104881,416.6154961781592
97,0.47764367918022343,0.6392246664831026,1944.5327426489573,1544.9797205578766
98,0.46857775611364827,0.7537809365198709,2091.213462918313,185.40588885280647
99,0.44981414024693367,0.7508429080950366,2082.221159806474,431.901311141864
