lon,lat,current_avg,current_std,current_95th_centile,current_5th_centile,extreme_avg,extreme_std,extreme_95th_centile,extreme_5th_centile,has_future_point,extreme_AI_avg,extreme_AI_std,extreme_AI_95th_centile,extreme_AI_5th_centile,extreme_ET_avg,extreme_ET_std,extreme_ET_95th_centile,extreme_ET_5th_centile,extreme_precip_avg,extreme_precip_std,extreme_precip_95th_centile,extreme_precip_5th_centile,extreme_Sdep_avg,extreme_Sdep_std,extreme_Sdep_95th_centile,extreme_Sdep_5th_centile,extreme_toc_avg,extreme_toc_std,extreme_toc_95th_centile,extreme_toc_5th_centile,extreme_avg_percchange,extreme_95th_centile_percchange,extreme_5th_centile_percchange,extreme_AI_avg_percchange,extreme_ET_avg_percchange,extreme_precip_avg_percchange,extreme_Sdep_avg_percchange,extreme_toc_avg_percchange,extreme_percchange_std,Observed,residuals,residuals_fracobs,coeff_var,error_ratio,current_avg_precfilter,current_avg_accurfilter,current_avg_bothfilters,extreme_avg_filtered,extreme_95th_centile_filtered,extreme_5th_centile_filtered,extreme_AI_avg_filtered,extreme_ET_avg_filtered,extreme_precip_avg_filtered,extreme_Sdep_avg_filtered,extreme_toc_avg_filtered,extreme_avg_percchange_filtered,extreme_95th_centile_percchange_filtered,extreme_5th_centile_percchange_filtered,extreme_percchange_std_filtered,extreme_AI_avg_percchange_filtered,extreme_ET_avg_percchange_filtered,extreme_precip_avg_percchange_filtered,extreme_Sdep_avg_percchange_filtered,extreme_toc_avg_percchange_filtered,residuals_filtered,residuals_fracobs_filtered
-7.5,39.5,162.4784443921948,2.282922297415685,166.2507902009062,159.1107094787462,144.99179657174625,2.8246694328893467,149.54653893591126,140.67179242164352,1.0,159.4707986769852,2.45334155207648,163.5086364678219,155.58015589831032,160.4809478789281,2.477049242722619,164.70132233061767,156.7797003741255,158.72613679026463,2.5072626258902164,162.67394319062703,154.8585501266964,153.59597519792086,2.7873720575114898,158.3120992127946,149.40722973154556,156.05480781643115,2.4178840757665,160.19490878991172,152.43199574168514,-10.762441680103002,-7.95915144600238,-13.421258464238992,-1.851104450476932,-1.22939170222795,-2.309418714566684,-5.466860067193403,-3.9535315590898366,0.6650085698827573,132.656506,29.821938392194795,0.22480569774839987,0.014050616412261472,0.22480569774839987,162.4784443921948,162.4784443921948,162.4784443921948,144.99179657174625,149.54653893591126,140.67179242164352,159.4707986769852,160.4809478789281,158.72613679026463,153.59597519792086,156.05480781643115,-10.762441680103002,-7.95915144600238,-13.421258464238992,0.6650085698827573,-1.851104450476932,-1.22939170222795,-2.309418714566684,-5.466860067193403,-3.9535315590898366,29.821938392194795,0.22480569774839987
-7.5,40.5,209.8503102182992,2.35401594699045,214.10371882797529,206.15966078583168,185.0052439528802,2.675857230532333,189.28734412731103,180.9719890114793,1.0,206.1583297633297,2.5729820550631564,210.8925742112681,202.30377210429288,207.4326120172858,2.5279309794026847,211.6611852224294,203.58678593237383,205.29574811066743,2.506391982626933,209.39290811855687,201.1023614926201,198.22927289843187,2.655709928965914,202.64585160421663,193.5422092116176,199.1128864074273,2.430832126099645,203.10257222287757,195.4742862161505,-11.839423177203617,-9.7988733348058,-13.761390763148688,-1.7593400034190423,-1.152106088620196,-2.1703861685473953,-5.537774667942311,-5.116706189141279,0.6700808590532719,202.792176,7.0581342182991875,0.034804765930906464,0.011217595744993933,0.034804765930906464,209.8503102182992,209.8503102182992,209.8503102182992,185.0052439528802,189.28734412731103,180.9719890114793,206.1583297633297,207.4326120172858,205.29574811066743,198.22927289843187,199.1128864074273,-11.839423177203617,-9.7988733348058,-13.761390763148688,0.6700808590532719,-1.7593400034190423,-1.152106088620196,-2.1703861685473953,-5.537774667942311,-5.116706189141279,7.0581342182991875,0.034804765930906464
-7.5,41.5,207.6528654211648,2.0905680164829428,211.34319270261847,204.24911567334763,183.60171925805432,2.315777794250545,187.39531873912688,180.156822664052,1.0,204.44110167320025,2.252823085271499,208.45787390251235,200.9464728651828,205.61492109824584,2.2567734955173795,209.4180217752214,202.10867514025023,203.7276361888184,2.2474541544472846,207.4157165517636,200.06603017309763,196.2952108027438,2.3024454545944444,200.09225912426476,192.3502424824744,197.1497427623212,2.171982644529076,200.7396305750505,193.69368559874144,-11.582381063863272,-9.75548622502812,-13.241350029697351,-1.5466984967678583,-0.9814188303087249,-1.8902841645768695,-5.469539076855601,-5.058019612462839,0.6680865879449038,220.819203,-13.166337578835197,-0.059624966488241504,0.010067609769038439,-0.059624966488241504,207.6528654211648,207.6528654211648,207.6528654211648,183.60171925805432,187.39531873912688,180.156822664052,204.44110167320025,205.61492109824584,203.7276361888184,196.2952108027438,197.1497427623212,-11.582381063863272,-9.75548622502812,-13.241350029697351,0.6680865879449038,-1.5466984967678583,-0.9814188303087249,-1.8902841645768695,-5.469539076855601,-5.058019612462839,-13.166337578835197,-0.059624966488241504
-7.5,42.5,235.5238608260543,2.53168283570026,240.15191224730532,231.61258975111804,201.64213691033845,2.381262953028106,205.76624997846864,198.38013867156707,1.0,232.27876882050464,2.6457003060891275,237.43662928328536,228.33114632518752,234.10157556620325,2.588461096516553,238.8991865252857,230.02061417631987,232.07909345607885,2.506780337826072,235.86796349976697,227.99953901086232,223.4775744410849,2.5304191446876136,228.11909719345505,219.8498295862077,216.0455778397748,2.413418295733465,220.4470594181931,212.33990093988663,-14.38568635758698,-12.634648032355022,-15.77068328627631,-1.3778187883673951,-0.6038816003026816,-1.4625980390664384,-5.11467769877726,-8.27019518020942,0.6400077359152698,234.618203,0.9056578260542949,0.003860134526962918,0.010749156483852097,0.003860134526962918,235.5238608260543,235.5238608260543,235.5238608260543,201.64213691033845,205.76624997846864,198.38013867156707,232.27876882050464,234.10157556620325,232.07909345607885,223.4775744410849,216.0455778397748,-14.38568635758698,-12.634648032355022,-15.77068328627631,0.6400077359152698,-1.3778187883673951,-0.6038816003026816,-1.4625980390664384,-5.11467769877726,-8.27019518020942,0.9056578260542949,0.003860134526962918
-7.5,43.5,497.9469382689063,7.24132222823012,508.0015984272446,486.3342237477372,406.29416578284014,5.660293965558834,414.5941307369402,397.7800787695885,1.0,490.0518412434453,7.250205998513613,501.0168488660963,478.7611317508304,496.20519066932405,7.2752738541487645,506.10424625013593,484.4749436397282,491.57358464295737,7.202299769848806,501.5869037391601,480.4585866567927,475.4556659733509,6.579744374864548,485.132978684721,466.4418312276177,434.9162632130643,6.308762304047113,443.5605378961076,424.8392601913564,-18.406132349099998,-16.73929511882109,-20.11597055853865,-1.5855297861470923,-0.34978578352893863,-1.2799262604376402,-4.516801001678103,-12.658110776816049,0.5849921269163003,473.955088,23.99185026890632,0.05062051421400991,0.014542357170433265,0.05062051421400991,497.9469382689063,497.9469382689063,497.9469382689063,406.29416578284014,414.5941307369402,397.7800787695885,490.0518412434453,496.20519066932405,491.57358464295737,475.4556659733509,434.9162632130643,-18.406132349099998,-16.73929511882109,-20.11597055853865,0.5849921269163003,-1.5855297861470923,-0.34978578352893863,-1.2799262604376402,-4.516801001678103,-12.658110776816049,23.99185026890632,0.05062051421400991
-7.5,52.5,346.85516258875555,2.59370078193364,350.9512600860372,343.5695010313805,308.08931159968654,3.103980570897259,312.40174116354706,303.85751109405413,1.0,347.4239664636174,2.6301192441264245,351.5559098864483,344.10147075062787,348.35864979322173,2.7385045874661165,352.92002457569737,344.8343603850256,349.8057948206732,2.7813478420056432,354.5955489894241,345.8576309711765,339.3116309041978,3.2276011316869795,344.2188529586983,334.33299966074543,314.4789251826267,2.5496718058027428,318.51780379685414,311.1373448280905,-11.176379990927582,-9.933085950938477,-12.396428288334587,0.16398887380443097,0.4334625418993037,0.8506813650676568,-2.174836213552818,-9.334223877335024,0.41241656812646593,380.724039,-33.86887641124446,-0.08895912246624504,0.007477763232859327,-0.08895912246624504,346.85516258875555,346.85516258875555,346.85516258875555,308.08931159968654,312.40174116354706,303.85751109405413,347.4239664636174,348.35864979322173,349.8057948206732,339.3116309041978,314.4789251826267,-11.176379990927582,-9.933085950938477,-12.396428288334587,0.41241656812646593,0.16398887380443097,0.4334625418993037,0.8506813650676568,-2.174836213552818,-9.334223877335024,-33.86887641124446,-0.08895912246624504
-7.5,53.5,691.6135561715824,7.805022577338036,703.9828139274204,679.739496926933,600.2555875897218,7.885565779406774,612.4532117274272,588.8834679190508,1.0,691.3458855558669,7.796394689385225,703.6697760203363,679.4949883034159,694.6436113270304,8.151701497281216,707.8211165916462,682.1583913599527,696.1689654032758,8.260527249605824,709.3432692242185,683.5618654566567,675.7846734463457,8.853695782896478,689.623555538507,663.341663183814,615.891813148796,7.05435610439458,626.8785589322138,605.6024716212394,-13.209395299821978,-11.445747952418154,-14.853683438652174,-0.038702337935258936,0.43811390456554516,0.658663959236106,-2.2886889049511043,-10.94856258196313,0.4157871416079253,816.84051,-125.22695382841755,-0.1533064928775601,0.011285236542416309,-0.1533064928775601,691.6135561715824,691.6135561715824,691.6135561715824,600.2555875897218,612.4532117274272,588.8834679190508,691.3458855558669,694.6436113270304,696.1689654032758,675.7846734463457,615.891813148796,-13.209395299821978,-11.445747952418154,-14.853683438652174,0.4157871416079253,-0.038702337935258936,0.43811390456554516,0.658663959236106,-2.2886889049511043,-10.94856258196313,-125.22695382841755,-0.1533064928775601
-7.5,54.5,602.3513598480569,5.839523838398761,611.189579119155,593.6335242128248,536.010421975162,6.062704406740325,546.0835426902017,526.6806194232976,1.0,602.5963514886265,5.846984903515144,611.4467882415081,593.8722853998092,604.4673220219973,5.963942724358155,613.8617085527229,595.5662195597689,605.8965470065618,6.036055129321323,615.2746812576378,596.800432753604,589.7734772048701,6.668286564834382,600.5397106918429,579.1986154440555,547.845156311718,5.25277326498,556.0408512521702,540.3399082673106,-11.013661177693592,-9.341361356276954,-12.56255824571347,0.04067254710464179,0.3512837049914256,0.5885580069744089,-2.08813053005467,-9.048905202121237,0.3773446418388192,643.428783,-41.077423151943094,-0.06384144483002262,0.009694547447974187,-0.06384144483002262,602.3513598480569,602.3513598480569,602.3513598480569,536.010421975162,546.0835426902017,526.6806194232976,602.5963514886265,604.4673220219973,605.8965470065618,589.7734772048701,547.845156311718,-11.013661177693592,-9.341361356276954,-12.56255824571347,0.3773446418388192,0.04067254710464179,0.3512837049914256,0.5885580069744089,-2.08813053005467,-9.048905202121237,-41.077423151943094,-0.06384144483002262
-7.5,55.5,615.0130896391823,5.7446068810490605,626.0036071835291,606.6509924230296,566.976183934031,5.953673576723061,576.7731886559309,559.0404710475823,1.0,615.866189536026,5.790770112990458,626.8210737046122,607.2778931151978,615.962065568471,5.857531425802786,627.3997440724677,607.2701855141305,617.108121608027,5.85871991670971,628.6273029053893,608.378710100746,603.0121182716192,6.3297744704268535,613.3241512480483,594.2815914509548,577.2754106645086,5.411474642135399,587.7852101315242,569.5032607055007,-7.810712733501937,-6.217737740457874,-9.101045089046517,0.13871247802939812,0.15430174499950397,0.34064835434214197,-1.9513359259725496,-6.136077363298685,0.32280665667254604,659.305897,-44.29280736081762,-0.06718096647149756,0.009340625391273092,-0.06718096647149756,615.0130896391823,615.0130896391823,615.0130896391823,566.976183934031,576.7731886559309,559.0404710475823,615.866189536026,615.962065568471,617.108121608027,603.0121182716192,577.2754106645086,-7.810712733501937,-6.217737740457874,-9.101045089046517,0.32280665667254604,0.13871247802939812,0.15430174499950397,0.34064835434214197,-1.9513359259725496,-6.136077363298685,-44.29280736081762,-0.06718096647149756
-7.5,57.5,205.5895378278621,5.985348425762767,214.2909412908405,196.1840885783372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983.326702,-777.7371641721379,-0.7909244837857947,0.029113098307435446,-0.7909244837857947,205.5895378278621,,,,,,,,,,,,,,,,,,,,,
