Iteration,train_r2,test_r2,train_rmse,test_rmse
0,0.6381707717731326,0.6485317829079744,0.16424702975231886,0.12725493510832903
1,0.6489154662745369,0.6040909098222546,0.1618029626231748,0.12959957387605123
2,0.6490751730248955,0.5945051534397805,0.15899337639587574,0.15287613595078609
3,0.6382704888993701,0.6173968696255728,0.14000200085823045,0.2223687217362717
4,0.6309734117200652,0.6547143976633008,0.1512732517665951,0.18247426535693329
5,0.6472343051005841,0.6039952359003533,0.16453121134055723,0.12416320131145551
6,0.6383639783839457,0.6420523651559984,0.16447294952629754,0.1337365946355451
7,0.6472075376920678,0.6239465028550284,0.13336593918553039,0.23002063424557032
8,0.6469493496424064,0.5844101170480054,0.15919237683355544,0.1619996424438125
9,0.6347657503903914,0.6630342833380046,0.16140075463888914,0.14004942068808898
10,0.6389321795351555,0.6311340316614543,0.16130778037833873,0.1455311030398591
11,0.6413831645127244,0.6369281482045828,0.14655804132405056,0.19145102375855005
12,0.6219414102701815,0.6723551371325678,0.1574847896841289,0.17002299506762256
13,0.6408539258860384,0.6371116895169857,0.16220419508338574,0.13718200247294876
14,0.6504261182455473,0.5663700678051908,0.16412024961543686,0.11862151078253018
15,0.6196375162036238,0.6995307555845479,0.16774308393074058,0.12766094502000896
16,0.6553133597719868,0.5640171749907497,0.156092607885115,0.1632528135388929
17,0.6540953069337213,0.5796827861912099,0.14248747550111143,0.21236477113669558
18,0.635846126261611,0.6459903866802796,0.16195784013078515,0.14359587656956926
19,0.6653742649007945,0.5113187910377734,0.1587147646795328,0.12702726216187335
20,0.6543632515944877,0.5679929843603293,0.1584036405046964,0.1395317624318135
21,0.6484403020425755,0.6027820321784516,0.16331295252111336,0.12417469551247332
22,0.6569267284350223,0.5472365044422378,0.1599402394896452,0.13240182830597086
23,0.6469287215239022,0.6197687867099294,0.14337108922628036,0.20466560642161274
24,0.6528919956198048,0.5850664537979255,0.15724276157694464,0.15229592930764627
25,0.6265750926988625,0.6968250249366226,0.16118728247876304,0.1422324096534349
26,0.6362216000434233,0.6594140588735988,0.15545406217130783,0.14667131101439454
27,0.6183895718076982,0.6947906159070115,0.15907489573754433,0.15443262441646002
28,0.6545478623729597,0.5747938919249548,0.15004445548446244,0.17670714595661502
29,0.6275438754812908,0.6606016176669158,0.1605013390909726,0.15827435945141186
30,0.6332795307911696,0.6696544321442746,0.15711187502910992,0.1514362742585288
31,0.6487902871531955,0.6010067252362128,0.16274103912337706,0.13736557570274682
32,0.6288942698751662,0.6762439113392308,0.16631307447922533,0.11682391638391301
33,0.659867283589421,0.5594550318759623,0.15673086453922858,0.1466998537113554
34,0.6349234976518107,0.6619092409076643,0.15765631096820557,0.15558857088924974
35,0.6237410733111646,0.6953237049518339,0.1678271926866973,0.11259252091490565
36,0.6176930088607218,0.6993437408110048,0.1548645815827847,0.17992932406314113
37,0.6533400633528872,0.5944242024155183,0.15762254319040583,0.14369583266490005
38,0.657573026430194,0.558754258211012,0.16050074175703266,0.12577566827607609
39,0.6493352191895512,0.6129164438329736,0.15626918357878117,0.15401674003103571
40,0.6302277069391374,0.659546380694374,0.15056113493343773,0.19399541703246662
41,0.6411042818281347,0.6064486884629844,0.16565766829180245,0.1099209861652225
42,0.645982151682226,0.607291240809297,0.16290799145335802,0.13542799222964536
43,0.6474031538787965,0.5851823301159538,0.15643682673197137,0.13980538406749166
44,0.6512096768197919,0.6016516176637043,0.16292478096203608,0.1276897836980618
45,0.6449873469397837,0.6198628198814797,0.15692018646258574,0.15990831094686322
46,0.6281103459010396,0.6803256911072698,0.1349907091698299,0.2246085558942945
47,0.6571691203277086,0.577881137944066,0.15725367174006724,0.15702538013851172
48,0.6253886009374916,0.7113735158382306,0.16547652967235027,0.1119366570489196
49,0.6571859998069318,0.5620567964148135,0.16202274919542206,0.11338984066049608
50,0.6367777012964331,0.6528800150394553,0.16529966198742813,0.1277120086773529
51,0.6295802809027387,0.6736787150183046,0.1590046364207241,0.15713740484714794
52,0.6402668735462298,0.6485022644222964,0.1600226145754455,0.14345814509716132
53,0.6473226200088955,0.5977065070462617,0.1594830997182771,0.1558121856784678
54,0.6348448731727582,0.6476676494026303,0.15922891827764096,0.15878545768528077
55,0.6437569001193597,0.6284722408639444,0.1603661804690434,0.12809584025313792
56,0.6459239015776579,0.6020819274750313,0.16798147186944365,0.0955432968769843
57,0.6450565712203348,0.6208897905789184,0.16299676527750773,0.13791396614261556
58,0.6496404028782656,0.605559490846508,0.1590314763178304,0.14072847179507342
59,0.6559710362275601,0.5728984097824713,0.16088811763075198,0.14234329565604362
60,0.6607149979720677,0.5245754701668937,0.15916642319167992,0.15443130281552994
61,0.6405864744282297,0.6277659365625836,0.15257103581524545,0.1793902929021568
