lon,lat,current_avg,current_std,current_95th_centile,current_5th_centile,extreme_avg,extreme_std,extreme_95th_centile,extreme_5th_centile,has_future_point,extreme_AI_avg,extreme_AI_std,extreme_AI_95th_centile,extreme_AI_5th_centile,extreme_ET_avg,extreme_ET_std,extreme_ET_95th_centile,extreme_ET_5th_centile,extreme_precip_avg,extreme_precip_std,extreme_precip_95th_centile,extreme_precip_5th_centile,extreme_SEdep_avg,extreme_SEdep_std,extreme_SEdep_95th_centile,extreme_SEdep_5th_centile,extreme_toc_avg,extreme_toc_std,extreme_toc_95th_centile,extreme_toc_5th_centile,extreme_avg_percchange,extreme_95th_centile_percchange,extreme_5th_centile_percchange,extreme_AI_avg_percchange,extreme_ET_avg_percchange,extreme_precip_avg_percchange,extreme_SEdep_avg_percchange,extreme_toc_avg_percchange,extreme_percchange_std,Observed,residuals,residuals_fracobs,coeff_var,error_ratio,current_avg_precfilter,current_avg_accurfilter,current_avg_bothfilters,extreme_avg_filtered,extreme_95th_centile_filtered,extreme_5th_centile_filtered,extreme_AI_avg_filtered,extreme_ET_avg_filtered,extreme_precip_avg_filtered,extreme_SEdep_avg_filtered,extreme_toc_avg_filtered,extreme_avg_percchange_filtered,extreme_95th_centile_percchange_filtered,extreme_5th_centile_percchange_filtered,extreme_percchange_std_filtered,extreme_AI_avg_percchange_filtered,extreme_ET_avg_percchange_filtered,extreme_precip_avg_percchange_filtered,extreme_SEdep_avg_percchange_filtered,extreme_toc_avg_percchange_filtered,residuals_filtered,residuals_fracobs_filtered
-9.5,52.5,1.1830160209000715,0.0370066651422803,1.2579216019269228,1.134991210523695,1.0894016534595523,0.0324612210969634,1.1492992580501111,1.043305568347594,1.0,1.1830304542067862,0.0370194395800841,1.258068534374053,1.1350101775956034,1.1882852574466898,0.0368870580485502,1.261235439782986,1.1384774636227448,1.1977815551785045,0.0375079483651553,1.271971976478722,1.1486628450261058,1.164186415617414,0.0366253652176971,1.2358757423158186,1.1136209785247055,1.1031252255524622,0.0321233638552238,1.1636131089866844,1.0595485940267826,-7.913195238834956,-2.8500681524420726,-11.80968389981582,0.0012200432166344039,0.4454070319867079,1.248126315922496,-1.5916610553026531,-6.753145683253401,0.46530216474663516,1.149975,0.03304102090007155,0.028731947129347638,0.03128162635880839,0.028731947129347638,1.1830160209000715,1.1830160209000715,1.1830160209000715,1.0894016534595523,1.1492992580501111,1.043305568347594,1.1830304542067862,1.1882852574466898,1.1977815551785045,1.164186415617414,1.1031252255524622,-7.913195238834956,-2.8500681524420726,-11.80968389981582,0.46530216474663516,0.0012200432166344039,0.4454070319867079,1.248126315922496,-1.5916610553026531,-6.753145683253401,0.03304102090007155,0.028731947129347638
-9.5,53.5,0.8079857364211849,0.0188977659156828,0.8419269590762698,0.7834073503447451,0.7488561443707902,0.0168209329250502,0.7777873190737049,0.7250047638798826,1.0,0.8079618262925916,0.0189098510382148,0.8424227417913597,0.7832660373580989,0.8094273109212622,0.0187946033374712,0.8432780636651201,0.7851532555772754,0.814604465783439,0.0190533558171948,0.8497160821974814,0.7899414002016448,0.7958893619326957,0.0187980023566906,0.8292794753288744,0.7698952921002258,0.7567771199151332,0.0165738059191536,0.7876533058740615,0.7350988592840463,-7.318148004975643,-3.7374938673098317,-10.27010364178585,-0.0029592265699105373,0.17841583521789467,0.8191641342049589,-1.4971024788219336,-6.337811943669978,0.35152655800346,1.23525,-0.4272642635788151,-0.34589294764526624,0.023388737033139678,-0.34589294764526624,0.8079857364211849,,,,,,,,,,,,,,,,,,,,,
-8.5,37.5,0.2986555177650564,0.0054671121749737,0.3067428818599065,0.2899276813468373,0.2681155088633886,0.0065293706711482,0.2776084069512393,0.2576802167039284,1.0,0.2990639440995688,0.0066437876330326,0.3090783794719835,0.2884350094716917,0.2927048411548395,0.0052634984067155,0.3001540068421503,0.2849400397762803,0.2820241384484891,0.0054148760268782,0.2902532798382109,0.2736605859074418,0.2755283289352142,0.0059266976762528,0.2846526018902838,0.2662204438341007,0.2952239338473472,0.0053109150353615,0.3029524048220974,0.2873327116213435,-10.225831128187204,-7.047286777528837,-13.71992098714951,0.13675499370272212,-1.992488421023612,-5.5687500572652056,-7.743767469260589,-1.1490107209098108,0.8135252222601866,0.467036,-0.16838048223494362,-0.3605299853436215,0.018305746419440067,-0.3605299853436215,0.2986555177650564,,,,,,,,,,,,,,,,,,,,,
-8.5,38.5,0.2330538127798955,0.0039214454609589,0.2388800757305033,0.2262263120006796,0.2067077036364872,0.0046467059225753,0.2137022193863958,0.1986346585341449,1.0,0.2333500509329912,0.005153250865354,0.24048387971355,0.2247435538206924,0.2285123756070396,0.0039891493379342,0.2343611275862583,0.2219292854795025,0.2211339998218143,0.0035265617137584,0.2267858427387429,0.2151934743095843,0.2160058057487551,0.0043498726068328,0.2223872274328808,0.2087596786140427,0.2256918521437009,0.0039461905736356,0.2314542352393225,0.2189372744393709,-11.304732082753155,-8.303487148599476,-14.768758268828378,0.12711148106186845,-1.9486646104112462,-5.114618300340233,-7.315051758986306,-3.1589101883295516,0.7192377878072598,0.219171,0.013882812779895504,0.0633423800589289,0.01682635188063821,0.0633423800589289,0.2330538127798955,0.2330538127798955,0.2330538127798955,0.2067077036364872,0.2137022193863958,0.1986346585341449,0.2333500509329912,0.2285123756070396,0.2211339998218143,0.2160058057487551,0.2256918521437009,-11.304732082753155,-8.303487148599476,-14.768758268828378,0.7192377878072598,0.12711148106186845,-1.9486646104112462,-5.114618300340233,-7.315051758986306,-3.1589101883295516,0.013882812779895504,0.0633423800589289
-8.5,39.5,0.2854114402046213,0.0054032497565854,0.292957536038262,0.2749801921248312,0.2533282113756871,0.005873348096283,0.2613044452904318,0.2416269286015908,1.0,0.2857396492590494,0.0068192725550603,0.2955309574612788,0.2725863288616981,0.2802571142884528,0.0059170037001452,0.2890824564505458,0.2686075328795276,0.2723343305654284,0.0049692068418822,0.2787903040551864,0.2631289374875883,0.2658037977297771,0.0058643587745953,0.2743549750367113,0.2543669479471992,0.2745640280235514,0.0057679753145471,0.2830644779642912,0.2632952581977354,-11.241045140283303,-8.446401061186041,-15.340839726550506,0.1149950591303532,-1.805928281106453,-4.581844942801686,-6.869956740622173,-3.800622768762527,0.6594789160670821,0.210098,0.07531344020462127,0.3584681444117568,0.018931440704379698,0.3584681444117568,0.2854114402046213,,,,,,,,,,,,,,,,,,,,,
-8.5,40.5,0.2869806764748899,0.0049018796618239,0.2942517873271787,0.2788928492419339,0.2567247786317908,0.00491394325167,0.2645815991340527,0.249041573660017,1.0,0.2873045874372531,0.0061094262753882,0.2963005968585547,0.2770138596317464,0.2819939904043666,0.0050788518709879,0.2889292224492976,0.2737569888767652,0.2739106579916149,0.0036994596749451,0.2797677210727539,0.2677312178290315,0.2669120832050242,0.0052425782844868,0.2747640355243987,0.2595106436749548,0.2789264711769438,0.0050575056494108,0.2858362753888218,0.2705760428810919,-10.542834526263457,-7.805082075899645,-13.220089687185776,0.11286856186345665,-1.737638272993476,-4.554320048241501,-6.993012044008358,-2.806532271398704,0.6926492619440889,0.331478,-0.0444973235251101,-0.13423914566007428,0.017080870120022882,-0.13423914566007428,0.2869806764748899,0.2869806764748899,0.2869806764748899,0.2567247786317908,0.2645815991340527,0.249041573660017,0.2873045874372531,0.2819939904043666,0.2739106579916149,0.2669120832050242,0.2789264711769438,-10.542834526263457,-7.805082075899645,-13.220089687185776,0.6926492619440889,0.11286856186345665,-1.737638272993476,-4.554320048241501,-6.993012044008358,-2.806532271398704,-0.0444973235251101,-0.13423914566007428
-8.5,41.5,0.4364663545103356,0.0100894189493644,0.4529715953994429,0.4178255040827737,0.3943659452343488,0.0097603252601248,0.4090241438622753,0.3760400960170959,1.0,0.4369078476497404,0.0121874480088005,0.4564861752491786,0.4156950283734262,0.4300396231080771,0.010814003869377,0.4473787910490008,0.409931117590769,0.4200047370822188,0.0086123343475678,0.4342034002622038,0.403279806537729,0.4063097698707932,0.0100189030093645,0.4234307260433729,0.387529114585329,0.4269441389720744,0.0107000378269534,0.4440747191576992,0.4070652678859641,-9.645739892876405,-6.287359922358106,-13.84442531911329,0.10115170043291982,-1.4724460054815833,-3.771566183282288,-6.909257570007791,-2.181660840488846,0.6965338694890398,0.586737,-0.15027064548966435,-0.2561124413317455,0.02311614365025582,-0.2561124413317455,0.4364663545103356,0.4364663545103356,0.4364663545103356,0.3943659452343488,0.4090241438622753,0.3760400960170959,0.4369078476497404,0.4300396231080771,0.4200047370822188,0.4063097698707932,0.4269441389720744,-9.645739892876405,-6.287359922358106,-13.84442531911329,0.6965338694890398,0.10115170043291982,-1.4724460054815833,-3.771566183282288,-6.909257570007791,-2.181660840488846,-0.15027064548966435,-0.2561124413317455
-8.5,42.5,0.6247015140382317,0.0189118875945508,0.6572329658160635,0.5894943969176131,0.5637770641349144,0.0171567015101435,0.591509498406064,0.5292567007392954,1.0,0.6252639051631815,0.0211389305961142,0.6626616846508049,0.5869455809486539,0.6186769796148037,0.0197284036584195,0.650489824473527,0.5826753125230546,0.6058927505189106,0.0169949806324492,0.6332630380658597,0.5737282836725324,0.5848503720861509,0.0181242859946484,0.6152999673859953,0.5494466968248601,0.6084254990614202,0.0192535510189256,0.6394339815106863,0.5732792898899107,-9.752569592714126,-5.313259994778294,-15.27846678039187,0.09002557418412233,-0.9643860768775541,-3.010840072683104,-6.379229288956381,-2.605406679999728,0.7275747058243814,0.820153,-0.1954514859617683,-0.23831100533896518,0.030273478084436648,-0.23831100533896518,0.6247015140382317,0.6247015140382317,0.6247015140382317,0.5637770641349144,0.591509498406064,0.5292567007392954,0.6252639051631815,0.6186769796148037,0.6058927505189106,0.5848503720861509,0.6084254990614202,-9.752569592714126,-5.313259994778294,-15.27846678039187,0.7275747058243814,0.09002557418412233,-0.9643860768775541,-3.010840072683104,-6.379229288956381,-2.605406679999728,-0.1954514859617683,-0.23831100533896518
-8.5,52.5,0.6137193360908906,0.01233038165805,0.6321226351202145,0.5962904006397468,0.5618421559214998,0.0119964162095988,0.5787484690562252,0.5442447638961274,1.0,0.6137093833276969,0.0123588589085492,0.6323657480317929,0.5962678010762209,0.6170116586253975,0.0125898296045125,0.6349880184448404,0.5995387210812546,0.6226568540509956,0.0124268401735808,0.6405496375389252,0.6045456534229395,0.6018252624082824,0.0131679769147782,0.6205047343150981,0.5845384027838136,0.5708080106473987,0.0116280025479152,0.5876212321048316,0.5546457525966659,-8.452916034848199,-5.698185632770454,-11.320251474767632,-0.0016217125008810551,0.536454098949779,1.4562874973164237,-1.9380314393168654,-6.992011318531567,0.5389469755858199,0.709593,-0.09587366390910945,-0.13511078027701717,0.020091238670413826,-0.13511078027701717,0.6137193360908906,0.6137193360908906,0.6137193360908906,0.5618421559214998,0.5787484690562252,0.5442447638961274,0.6137093833276969,0.6170116586253975,0.6226568540509956,0.6018252624082824,0.5708080106473987,-8.452916034848199,-5.698185632770454,-11.320251474767632,0.5389469755858199,-0.0016217125008810551,0.536454098949779,1.4562874973164237,-1.9380314393168654,-6.992011318531567,-0.09587366390910945,-0.13511078027701717
-8.5,53.5,0.5775775285864332,0.0108510132210895,0.5970390770576692,0.562470631752084,0.536853499398878,0.0104675402500367,0.5547130150267559,0.5230637641954045,1.0,0.5775649109977878,0.0109045481975429,0.5971877492537918,0.5623331914288975,0.5799246819342531,0.0109089997026765,0.5972460174415939,0.5643301789362297,0.5841936792309879,0.0106461469812285,0.6017544753518351,0.5700992379414356,0.5683535537074872,0.0114162194219045,0.5856051958558208,0.5524572493944483,0.5437932015101031,0.0102066656878432,0.5616224444695896,0.5294767152558715,-7.050833381143372,-3.958691678264576,-9.43834579652814,-0.002184570559077601,0.40637892432628264,1.1455000094527712,-1.5970106907588335,-5.849314664130723,0.43724276362979553,0.971273,-0.39369547141356687,-0.40533966393955856,0.018787111139254912,-0.40533966393955856,0.5775775285864332,,,,,,,,,,,,,,,,,,,,,
