RMSE,hidden_layer_sizes,alpha,power_t,beta_1,beta_2,epsilon
0.17213505994311326,30.0,15.819734815786015,0.3780746663599349,0.0001086515769171017,1.2738113214268593e-07,2.1248718019961784e-09
0.17337039799044224,43.0,1.0790287915161837e-05,11.723818032865998,8.549327024249158e-05,0.1016265080491774,3.094204795719368e-05
0.17771003740695793,51.0,13.77650769549055,0.0026026478819690044,0.1902301171359718,0.1016265080491774,0.0010841852894594786
0.17784214071187923,29.0,1.5423686462966306,46.737951079924635,0.007012063537767881,3.703126673238077e-08,4.616006658852633e-08
0.1788410371131155,13.0,2.502640096417922,1.6604286571875296e-08,0.0016338538671628274,2.2980599848482393e-07,0.0009495060794807578
0.1790181370430658,34.0,3.9865810735804386e-08,0.009682466119303113,1.8376561997811362e-08,0.06650017973716259,2.623263304627603e-10
0.1804041796199698,34.0,2.572825967447932e-08,32.322839781813805,0.06292146056136554,2.7254325195772193e-05,1.2465496208633544e-09
0.18184687895393598,16.0,2.560993100258462,0.00018805040551285834,0.0005817880039693902,1e-08,3.6170610215869726e-07
0.1832287650254528,34.0,2.8738126918510694,0.790492762269642,4.9968774369985505e-06,0.035526346474885034,2.28947535848214e-05
0.18328736513543983,41.0,6.742622241778349,8.994022174092053e-05,2.82130766729763e-06,9.727203143960588e-05,5.238077469231417e-07
0.18370570677562512,5.0,2.6818126094530186,14.097728716289676,1.5566543588970903e-08,6.092349146424238e-08,0.01325599224143036
0.18452861425288133,48.0,1.4162866162991973e-07,4.827070965603188e-05,0.0020012497857075026,0.1767043510081196,7.701736550890859e-05
0.18589858415175717,13.0,1.615132693503093,5.791122647641758e-06,0.00977214689655691,7.3598144488912524e-06,0.00632091685978405
0.18614949913588535,48.0,7.309099328602919e-05,1.0186101701559773,7.904927603942988e-07,8.97331580389459e-08,1.4086882154935992e-10
0.18719132790048848,47.0,0.00012708787092020595,0.12505385872903912,6.680743908807552e-08,0.30724688139526685,0.0037701413734379987
0.18728672260014032,7.0,3.3769803108250946,1.253424265461402,0.0012390621490595936,0.4442706707136564,4.1329640358514786e-08
0.1889913051829447,9.0,4.193943955667186e-06,4.2818517986524157e-07,0.0030583380114078506,1.5602464120392762e-07,1.1787104686601236e-08
0.18946754473437172,40.0,9.976977642363211,0.03284857366030047,1.6225952825952411e-06,3.376980308594054e-08,1.0069323644853623e-08
0.1895095957126021,22.0,8.015006961565414e-05,3.904735236885556e-07,1.982883945911583e-07,1.7427746757049143e-07,0.0005758057900026302
0.18960143414038338,13.0,1.343161170046018,2.45691646298279e-08,0.07707027047865533,1.4831025084571406e-05,6.001748986257363e-08
0.18968763948095885,46.0,0.006852291595284057,0.9288978720164498,4.0795344901398604e-06,1.8718552943285113e-08,0.0003100624289868911
0.18999250792825,28.0,8.890965989529168,6.205728806776501e-06,1.7427746757049143e-07,0.020812215535490654,4.814689191514559e-09
0.1911117501931234,28.0,4.252346334528687,6.789406812696113e-07,0.0006868103547470436,0.03300034764236118,0.008613774919917353
0.19197269270820994,17.0,4.771760948938751,1.0423606739764033,0.2047912077948935,0.03895745583681427,2.645100905743636e-06
0.19270816903274923,47.0,0.13713147177539456,0.8470868266557402,2.0668802410636365e-05,0.011536180929948483,3.908041761129339e-07
0.19298699691758045,46.0,3.577285099367877e-05,0.001216424293857368,0.19377033198272392,0.08608647621523735,6.351558289205682e-10
0.19322709030208218,17.0,1.343161170046018,5.1370135433513384e-08,0.00038069798496045634,0.005831305071498799,1.5304476605653045e-10
