lon,lat,current_avg,current_std,current_95th_centile,current_5th_centile,extreme_avg,extreme_std,extreme_95th_centile,extreme_5th_centile,has_future_point,extreme_AI_avg,extreme_AI_std,extreme_AI_95th_centile,extreme_AI_5th_centile,extreme_ET_avg,extreme_ET_std,extreme_ET_95th_centile,extreme_ET_5th_centile,extreme_precip_avg,extreme_precip_std,extreme_precip_95th_centile,extreme_precip_5th_centile,extreme_Sdep_avg,extreme_Sdep_std,extreme_Sdep_95th_centile,extreme_Sdep_5th_centile,extreme_toc_avg,extreme_toc_std,extreme_toc_95th_centile,extreme_toc_5th_centile,extreme_avg_percchange,extreme_95th_centile_percchange,extreme_5th_centile_percchange,extreme_AI_avg_percchange,extreme_ET_avg_percchange,extreme_precip_avg_percchange,extreme_Sdep_avg_percchange,extreme_toc_avg_percchange,extreme_percchange_std,Observed,residuals,residuals_fracobs,coeff_var,error_ratio,current_avg_precfilter,current_avg_accurfilter,current_avg_bothfilters,extreme_avg_filtered,extreme_95th_centile_filtered,extreme_5th_centile_filtered,extreme_AI_avg_filtered,extreme_ET_avg_filtered,extreme_precip_avg_filtered,extreme_Sdep_avg_filtered,extreme_toc_avg_filtered,extreme_avg_percchange_filtered,extreme_95th_centile_percchange_filtered,extreme_5th_centile_percchange_filtered,extreme_percchange_std_filtered,extreme_AI_avg_percchange_filtered,extreme_ET_avg_percchange_filtered,extreme_precip_avg_percchange_filtered,extreme_Sdep_avg_percchange_filtered,extreme_toc_avg_percchange_filtered,residuals_filtered,residuals_fracobs_filtered
-9.5,52.5,819.5427066960156,39.72765579147912,883.5403877215997,763.1968934053425,775.7496339198344,36.130553161186725,833.8258769142952,721.1335307411634,1.0,819.469860679433,39.71740754652991,883.431572776116,763.1426826096533,817.9396333501101,39.84056398713973,880.672379615889,760.1149711011536,821.3162050802048,40.107475051894895,883.1147949258086,762.8420978685932,829.0544787928478,40.23363362366978,895.2127213492067,768.9007066973418,762.030966340429,35.43938227214543,816.069072147279,709.5911107518447,-5.343598621325397,1.7428219544363033,-12.007815474508762,-0.008888617516490532,-0.19560583393735345,0.2164009721151786,1.1606194551079525,-7.017540377785189,0.8339972108766963,1470.82119,-651.2784833039843,-0.4427992251756887,0.04847539422520282,-0.4427992251756887,819.5427066960156,,,,,,,,,,,,,,,,,,,,,
-9.5,53.5,598.0394199333882,22.74048614677648,633.2605659911383,564.7897092335879,568.1938114938391,21.25914325835952,606.6632637228204,536.4674837177441,1.0,598.1840280888523,22.76927495817531,633.5462739999003,564.7656361775822,597.5326663299797,22.783029325346263,632.4813893874181,564.2602691177908,599.6762065227742,22.955040051139186,634.7739100486589,566.1508183948849,606.4595876091385,23.37428900878144,646.6532695755834,571.2255904567629,557.5339109559835,20.411834469793643,590.5726055187207,527.2049856401679,-4.990575444487155,1.442019288693831,-10.295631719812414,0.024180371835721314,-0.08473581949914166,0.27369209032547237,1.4079619829555892,-6.773050007625978,0.8615263239604057,920.40184,-322.3624200666118,-0.35024095569671154,0.038025062209627244,-0.35024095569671154,598.0394199333882,,,,,,,,,,,,,,,,,,,,,
-8.5,37.5,153.8375521869177,7.151315014930932,167.13538755680725,143.01780102042588,156.55647216903398,9.478362770385097,174.63465807669257,141.0681343169454,1.0,151.84122101291524,7.353939654137108,165.8423507719508,140.5808933052596,155.74394397884157,8.044594926001807,169.67881259826012,143.37341593401402,151.6449935551254,8.391900735900085,166.90351776189027,138.1730028056985,161.0583214616284,8.870180348795538,177.61133844441852,146.92322299482245,157.49592142981373,8.115929165937127,171.49109616466652,144.9301442867715,1.76739680491842,13.518874679249782,-8.300585707745165,-1.2976878178462183,1.239223950734442,-1.4252427971086343,4.693762460505893,2.378072967808929,2.264420383813277,151.982993,1.8545591869176974,0.012202412587819596,0.04648614667400486,0.012202412587819596,153.8375521869177,153.8375521869177,153.8375521869177,156.55647216903398,174.63465807669257,141.0681343169454,151.84122101291524,155.74394397884157,151.6449935551254,161.0583214616284,157.49592142981373,1.76739680491842,13.518874679249782,-8.300585707745165,2.264420383813277,-1.2976878178462183,1.239223950734442,-1.4252427971086343,4.693762460505893,2.378072967808929,1.8545591869176974,0.012202412587819596
-8.5,38.5,172.59166691896175,9.006082879926565,188.58889577318803,158.5379643440378,171.38908611530007,11.692293448257276,192.02507062771411,152.4542202296886,1.0,170.6153371735387,9.673076591483785,187.5142222421826,155.8901066049339,174.63742636439449,9.570230203145716,190.72313832422827,159.02333152394786,170.63582853735767,9.68901362826571,188.04047803914256,155.08929018654842,180.27018683756904,11.179401117514214,199.6257358939215,161.87410532322983,171.86839685089777,9.467900864502846,187.9077554739568,156.30298533522387,-0.6967780224443466,11.259757817784491,-11.667681904207141,-1.1450898995899987,1.1853176239344725,-1.1332171573048315,4.448951711100077,-0.4190643041900654,2.072283746663869,126.259201,46.332465918961745,0.3669630850821062,0.05218144676796741,0.3669630850821062,172.59166691896175,,,,,,,,,,,,,,,,,,,,,
-8.5,39.5,178.65874704615808,6.575305321344195,189.10861881261545,166.5553893219015,175.82836759083133,8.790633474614841,190.15460626351765,160.81268946770675,1.0,176.81591073727196,6.909614644709475,188.71301956757895,164.50548039929646,180.61240486427215,7.206472713037752,193.0074531726777,167.12794972965295,177.00759020543836,7.364933880742244,189.9832197665328,163.79722084318078,186.0869206338809,8.491298296240403,199.29187427357888,170.14011611129203,175.92156208365932,7.1150688560099,188.0593936177252,162.6263346178846,-1.5842378288903458,6.434534780650571,-9.988907833233963,-1.0314839543848402,1.0935136680485742,-0.9241959142885574,4.157744141015211,-1.5320744199507808,1.9055352640178378,154.484773,24.173974046158094,0.1564812736991114,0.03680371339246774,0.1564812736991114,178.65874704615808,178.65874704615808,178.65874704615808,175.82836759083133,190.15460626351765,160.81268946770675,176.81591073727196,180.61240486427215,177.00759020543836,186.0869206338809,175.92156208365932,-1.5842378288903458,6.434534780650571,-9.988907833233963,1.9055352640178378,-1.0314839543848402,1.0935136680485742,-0.9241959142885574,4.157744141015211,-1.5320744199507808,24.173974046158094,0.1564812736991114
-8.5,40.5,169.19463635920042,5.051948983769824,176.8429143192738,160.84456953987583,168.6170308026246,6.656198435386115,179.672786342081,157.58267052868862,1.0,167.42268862746977,5.1061678426099,175.78421126144426,159.2306288454541,170.97486046279602,5.361295795112952,179.07361725661238,162.47090971345577,167.48069334353062,5.226229586469693,175.85743044585163,158.83988837894864,176.4044254517584,6.69626062423005,188.0402640706038,165.2630288924238,168.5776928876054,5.352817581079509,176.56725240175106,159.95809385398292,-0.3413852643351808,6.192956353909149,-6.863081525740316,-1.0472836313609855,1.0521752591590328,-1.0130007975141098,4.26123974595247,-0.36463536012172987,1.9733410492121863,171.21664,-2.0220036407995963,-0.011809621078883432,0.029858801038140065,-0.011809621078883432,169.19463635920042,169.19463635920042,169.19463635920042,168.6170308026246,179.672786342081,157.58267052868862,167.42268862746977,170.97486046279602,167.48069334353062,176.4044254517584,168.5776928876054,-0.3413852643351808,6.192956353909149,-6.863081525740316,1.9733410492121863,-1.0472836313609855,1.0521752591590328,-1.0130007975141098,4.26123974595247,-0.36463536012172987,-2.0220036407995963,-0.011809621078883432
-8.5,41.5,248.68872504646956,8.090536252390045,260.9776015047271,235.90149926353527,250.08706783944163,7.81568973807761,262.9077131485778,238.60718640019888,1.0,246.5815688193534,7.573632389686768,258.335470907044,234.31788150345844,250.78126111064475,8.300028328762835,263.7896520210548,237.57822086767936,246.85875122596008,8.09019148550917,260.2117504507167,234.6720885914777,258.4589725163229,8.40857183630787,271.7302217200685,246.40769085332929,248.58670955791612,8.247436259071545,261.4760051287124,235.4382348057921,0.562286365298942,5.717584542464196,-4.053878455642431,-0.8473066990561835,0.8414277984593731,-0.7358491303405629,3.928705440115019,-0.041021356530888745,1.810726717063397,250.922623,-2.2338979535304304,-0.008902736336892312,0.03253278270206364,-0.008902736336892312,248.68872504646956,248.68872504646956,248.68872504646956,250.08706783944163,262.9077131485778,238.60718640019888,246.5815688193534,250.78126111064475,246.85875122596008,258.4589725163229,248.58670955791612,0.562286365298942,5.717584542464196,-4.053878455642431,1.810726717063397,-0.8473066990561835,0.8414277984593731,-0.7358491303405629,3.928705440115019,-0.041021356530888745,-2.2338979535304304,-0.008902736336892312
-8.5,42.5,318.6168318965403,14.224150351792105,341.2039195573832,297.85208769684454,316.77697954234714,12.25234167903158,336.50826337964463,298.454231587926,1.0,316.311341559854,13.43620581786775,337.07368748990484,296.77914272320936,320.29586875487684,14.301527886200692,343.2822681705846,299.3270534585313,316.0496658344462,13.899070692870318,339.0717886932444,295.2429364802234,329.6919159431825,13.59014308176672,351.37151530367845,309.1066995222147,314.11376367304086,14.046720885427932,336.4981859746286,293.02424127139403,-0.5774498300173286,5.615344103639178,-6.328165460876025,-0.7235933905196026,0.5269768230203667,-0.8057220476436366,3.475988377863991,-1.4133177449211642,1.6590181073102401,274.387599,44.22923289654028,0.1611925358789275,0.044643436654378955,0.1611925358789275,318.6168318965403,318.6168318965403,318.6168318965403,316.77697954234714,336.50826337964463,298.454231587926,316.311341559854,320.29586875487684,316.0496658344462,329.6919159431825,314.11376367304086,-0.5774498300173286,5.615344103639178,-6.328165460876025,1.6590181073102401,-0.7235933905196026,0.5269768230203667,-0.8057220476436366,3.475988377863991,-1.4133177449211642,44.22923289654028,0.1611925358789275
-8.5,52.5,354.3940891788968,15.774693483169656,381.1357475526967,331.2931730686662,330.6386076531448,14.575314090280148,354.31978441689284,307.6871029576456,1.0,354.44905834229826,15.79886119612805,381.1907317385797,331.3045464297905,353.3943933937514,15.775849422552662,379.488595626358,329.7025794264311,355.42788649390855,15.917381881022784,382.2708043894056,331.4496076625439,359.42774948666704,15.667540803299213,386.1350563811843,335.87603458778426,323.0596158213116,14.45319962364675,346.0814179171801,301.0916947985552,-6.703125771874924,-0.020966704658120665,-13.179391995353992,0.015510744981327764,-0.28208590822201646,0.29170839654999664,1.4203567332155043,-8.841703153171867,1.0270629743129556,484.947093,-130.55300382110318,-0.26921081846984735,0.0445117285102536,-0.26921081846984735,354.3940891788968,354.3940891788968,354.3940891788968,330.6386076531448,354.31978441689284,307.6871029576456,354.44905834229826,353.3943933937514,355.42788649390855,359.42774948666704,323.0596158213116,-6.703125771874924,-0.020966704658120665,-13.179391995353992,1.0270629743129556,0.015510744981327764,-0.28208590822201646,0.29170839654999664,1.4203567332155043,-8.841703153171867,-130.55300382110318,-0.26921081846984735
-8.5,53.5,404.72127260028606,12.635098435259293,427.84146824242,384.2521117539432,384.3479580983231,12.558920649425394,410.0186803373534,365.0081010890414,1.0,404.8048014112576,12.659487115521468,428.05905749666687,384.23373301755066,403.87621127606405,12.670053319810073,427.7958698970306,383.59067597696793,405.69790189915,12.785929721280596,429.47939834367145,385.5848936468996,411.0389768682787,13.442463126064832,438.08328204084415,390.4956480097629,375.7625035639727,11.595093665651593,398.19726909014304,357.00696400162855,-5.033912443264186,1.308902717920435,-9.812474460779448,0.020638601582483332,-0.20880081711361081,0.24130910949879494,1.5610012855025306,-7.155237689943182,1.01387935288723,510.706959,-105.98568639971393,-0.2075273981134726,0.03121925950192904,-0.2075273981134726,404.72127260028606,404.72127260028606,404.72127260028606,384.3479580983231,410.0186803373534,365.0081010890414,404.8048014112576,403.87621127606405,405.69790189915,411.0389768682787,375.7625035639727,-5.033912443264186,1.308902717920435,-9.812474460779448,1.01387935288723,0.020638601582483332,-0.20880081711361081,0.24130910949879494,1.5610012855025306,-7.155237689943182,-105.98568639971393,-0.2075273981134726
