Iteration,train_r2,test_r2,train_rmse,test_rmse
0,0.6580803191018835,0.621367039267368,0.14956008416553174,0.1410202256239716
1,0.6680137380735838,0.6574342822437038,0.14802488778346776,0.1230218549892158
2,0.6607223470141914,0.6720321588631831,0.14659670194631555,0.18497652735075004
3,0.6497278313035104,0.6960645267891499,0.1429863163538961,0.17381099068605801
4,0.6622472174698486,0.6226947330980496,0.15567611619432986,0.15824511084710804
5,0.6546398577201544,0.6693251791062852,0.14672980596491167,0.1522811087048513
6,0.6555421182744782,0.6258486167674181,0.13920871377736269,0.20578197183735408
7,0.66100125706542,0.6537906742595668,0.14592912308844852,0.1429910716656368
8,0.6586573359081414,0.6515224301835795,0.1564293381080122,0.1307200160855255
9,0.6556012477745563,0.6202369188569276,0.1585056933811603,0.1404058459517959
10,0.6777427729465395,0.5697671476714671,0.1563668049057492,0.10338149787308575
11,0.6734473152415612,0.606008959094727,0.15240049274292194,0.14004278022125966
12,0.6517337768838383,0.6289254393531407,0.16640194897861676,0.11347045845360362
13,0.6896812493995607,0.5119563133982391,0.14763091257699676,0.13095189133600751
14,0.6508527603562512,0.6552407210055036,0.15989495858344727,0.1441578717153651
15,0.6397604472904188,0.6660695746280411,0.14710019517433243,0.19398290636233737
16,0.6651969332032764,0.6228970542790805,0.15311620325773323,0.13020602591469688
17,0.6574016383997652,0.6521578767031829,0.15102342119791085,0.16318371121999808
18,0.6594790118680447,0.6149797508646868,0.14856091385368492,0.17986130757399527
19,0.6431209279351253,0.6592092175639437,0.1406458121601434,0.21345605221112138
20,0.6725572349452971,0.5556588297353978,0.13614543997762976,0.1737419987549629
21,0.6592223331837737,0.6751207229996798,0.14416062933530713,0.15188784999479646
22,0.6711558681299199,0.5937830995994081,0.1358346245788265,0.190994747970853
23,0.676959242919406,0.5978309971867604,0.14832547770473262,0.15149485830646672
24,0.6635898153685875,0.5818376477304463,0.15774855691363485,0.1293540280917531
25,0.6451096458354136,0.678066624981015,0.1465397791661444,0.15741406868288138
26,0.6533528045971936,0.6651691437121408,0.15894116088508314,0.10823672735049042
27,0.6900324741064155,0.5274981386411732,0.14635509391311186,0.15572345211080224
28,0.6590934244180411,0.6526053142250335,0.15113970556698833,0.12402697835416765
29,0.6566321911771025,0.6158276047323752,0.16159001310548943,0.11637684462136266
