RMSE,hidden_layer_sizes,alpha,power_t,beta_1,beta_2,epsilon
0.10679681328772288,11.0,1.9421746814890284,0.4242556430717777,4.815957894042745e-06,1.1456687242540355e-05,1.3110273782441139e-06
0.10748888526688402,51.0,1.0186101701559773,1.3186214013947485e-08,1.8718552943285113e-08,2.0908376897185803e-08,3.81995463914013e-06
0.10768545779826158,12.0,3.968246104569486,6.820776732865692e-05,0.01219231242373679,1.1195643180157813e-07,4.2311911561111185e-10
0.10800655099802436,22.0,1.2826498305280625,5.607234882852039,0.060643293439917825,4.014242472417145e-05,2.0120110569165637e-10
0.10922250300666556,14.0,1.4393226447194094,0.00020151357338155586,0.009593608215357157,0.005416686872210856,6.386758991059535e-10
0.10951014358005721,21.0,1.4728827239075049,7.814350607844542e-06,0.2010496397906418,9.18254280164688e-06,6.693951605393671e-06
0.11007522848267826,22.0,1.3744790926775394,0.04535828825510191,1.592950208187126e-06,0.013369837315867845,4.0064550633245496e-07
0.11008552464517112,35.0,1.8546769230847013,1.6681005372000591e-06,6.220048811687861e-07,2.169383517473133e-08,2.2721429101683846e-10
0.11029952960227055,19.0,0.6883952069645496,1.5211855179861048e-06,0.0008258799337084486,1e-08,0.0004202060938098525
0.11037356808172587,25.0,1.615132693503093,0.00030512970171828706,0.03968246071838402,1.250538585575437e-07,3.3523745520241086e-05
0.11083477882157393,23.0,1.7711210643450905,6.51349094627281e-05,0.36271002180565504,2.6207066885613985e-06,0.0014491592444291024
0.11090272696638807,33.0,1.5423686462966306,30.866649433372746,1.0765446127992099e-08,0.09976977555077145,1.789061469450267e-08
0.1109273735552068,12.0,0.9954008287621519,0.007342870447166758,0.00012592156072405142,1.6874356709202034e-05,0.00050567372375083
0.11135237004397555,22.0,1.0915359353313934,56.20173848083188,0.00021102034171620895,0.0018249932328139448,4.4531247996634927e-08
0.11141269063016142,39.0,0.4546295469532399,1.2052609368708414e-07,7.778411043178314e-06,0.2508415036076585,1.7093196386209202e-06
0.11144945598059244,47.0,0.790492762269642,0.00036691423784024937,0.002406475133827725,2.8738126830196273e-06,1.58642681488036e-06
0.1115191148706273,36.0,1.4393226447194094,1.0790287915161837e-05,2.0956623960191292e-07,0.5646141364594316,5.9193937242853826e-08
0.11166158455161387,19.0,0.7208715033782136,20.384933982524643,0.0032322839559210045,0.19737643083012674,4.234115261660174e-07
0.11195853648866602,33.0,1.5423686462966306,70.77010661181889,8.870496845879089e-05,3.384772849474593e-07,3.180901749763798e-09
0.11225285406291666,45.0,0.62776601058065,1.7030650292528427e-07,1.4459729215025365e-08,0.0008890965934527989,0.0001353359392380123
0.11233583541891527,18.0,3.07955871291423,0.4145888496832911,0.00010092621859356858,1.5966260157085293e-05,6.238490354560318e-08
0.11253984884553192,35.0,1.343161170046018,2.6818126094530186,0.00727548347588638,0.01829204490527598,2.997420510710091e-07
0.11280426870671374,37.0,1.9421746814890284,19.92045708453871,0.00018891927661092797,0.00022302232858437032,0.003432049597686396
0.11286669287498341,20.0,4.556786265841069,0.0003269749744511768,6.335804978388418e-07,0.0005208548519868603,0.009410167626613892
